date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:03:08	32777/32777	---M-Z	200	added ('OK')	text/html	etag:W/%22e3666c608c22005f71e016f2ce16b563-gzip%22	https://forestglasstest0.weebly.com/	D:/DocumentsD/HTTrack/Portfolio%20Site%20Second%20Draft/forestglasstest0.weebly.com/index.html	(from )
15:03:08	140/140	---M--	200	added ('OK')	text/plain	etag:W/%22aa0949a043d6a4fe6bd993c684b3fa5e%22	https://forestglasstest0.weebly.com/robots.txt		(from )
15:03:08	33904/33904	---M--	200	added ('OK')	image/jpeg	etag:%228ec311aafc83aba67b5b4a30ce94b641%22	https://forestglasstest0.weebly.com/uploads/1/4/3/3/143377499/d5e40b9c-b61e-4813-8997-d03118cd6fe_orig.jpeg	D:/DocumentsD/HTTrack/Portfolio%20Site%20Second%20Draft/forestglasstest0.weebly.com/uploads/1/4/3/3/143377499/d5e40b9c-b61e-4813-8997-d03118cd6fe_orig.jpg	(from https://forestglasstest0.weebly.com/)
15:03:09	59381/59381	---M--	200	added ('OK')	image/jpeg	etag:%22c245cd9c2dd4cb2b39f21f4f3de8f2b3%22	https://forestglasstest0.weebly.com/uploads/1/4/3/3/143377499/img-3852_orig.jpeg	D:/DocumentsD/HTTrack/Portfolio%20Site%20Second%20Draft/forestglasstest0.weebly.com/uploads/1/4/3/3/143377499/img-3852_orig.jpg	(from https://forestglasstest0.weebly.com/)
15:03:10	28411/28411	---M--	200	added ('OK')	image/jpeg	etag:%2251aa86f65bc280617234fddacfc96581%22	https://forestglasstest0.weebly.com/uploads/1/4/3/3/143377499/d36de56e-83e2-4bd0-8d1b-e68940ab47a_orig.jpeg	D:/DocumentsD/HTTrack/Portfolio%20Site%20Second%20Draft/forestglasstest0.weebly.com/uploads/1/4/3/3/143377499/d36de56e-83e2-4bd0-8d1b-e68940ab47a_orig.jpg	(from https://forestglasstest0.weebly.com/)
15:03:10	59192/59192	---M--	200	added ('OK')	image/jpeg	etag:%223fb3287f8d91f34702f6c2292e897d89%22	https://forestglasstest0.weebly.com/uploads/1/4/3/3/143377499/5333829f-2d91-4f50-9666-667f75c8ef4_orig.jpeg	D:/DocumentsD/HTTrack/Portfolio%20Site%20Second%20Draft/forestglasstest0.weebly.com/uploads/1/4/3/3/143377499/5333829f-2d91-4f50-9666-667f75c8ef4_orig.jpg	(from https://forestglasstest0.weebly.com/)
15:03:11	214916/214916	---M--	200	added ('OK')	image/jpeg	etag:%22d3d8f528bddab841aa7cb194bc7f295f%22	https://forestglasstest0.weebly.com/uploads/1/4/3/3/143377499/eeaa85bf-9d0a-479f-85ec-17905c06db5_orig.jpeg	D:/DocumentsD/HTTrack/Portfolio%20Site%20Second%20Draft/forestglasstest0.weebly.com/uploads/1/4/3/3/143377499/eeaa85bf-9d0a-479f-85ec-17905c06db5_orig.jpg	(from https://forestglasstest0.weebly.com/)
15:03:11	270023/270023	---M--	200	added ('OK')	image/jpeg	etag:%2282aecbc3741e178f7002d9a45651a753%22	https://forestglasstest0.weebly.com/uploads/1/4/3/3/143377499/5838f2cb-8cd4-4e35-a266-c5652288bdf7_orig.jpg	D:/DocumentsD/HTTrack/Portfolio%20Site%20Second%20Draft/forestglasstest0.weebly.com/uploads/1/4/3/3/143377499/5838f2cb-8cd4-4e35-a266-c5652288bdf7_orig.jpg	(from https://forestglasstest0.weebly.com/)
15:03:11	74640/74640	---M--	200	added ('OK')	image/jpeg	etag:%22fa5c147d68f73eec5c5584383a18b2c7%22	https://forestglasstest0.weebly.com/uploads/1/4/3/3/143377499/a87a1f0a-e101-493e-a299-eeb9f4f0012_orig.jpeg	D:/DocumentsD/HTTrack/Portfolio%20Site%20Second%20Draft/forestglasstest0.weebly.com/uploads/1/4/3/3/143377499/a87a1f0a-e101-493e-a299-eeb9f4f0012_orig.jpg	(from https://forestglasstest0.weebly.com/)
15:03:11	59087/59087	---M--	200	added ('OK')	image/jpeg	etag:%22d18819684d96a0489e3b174b9d7f4699%22	https://forestglasstest0.weebly.com/uploads/1/4/3/3/143377499/img-3851_orig.jpeg	D:/DocumentsD/HTTrack/Portfolio%20Site%20Second%20Draft/forestglasstest0.weebly.com/uploads/1/4/3/3/143377499/img-3851_orig.jpg	(from https://forestglasstest0.weebly.com/)
